Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0958904109589,41.4822620302072,42.1496311907271,43.6951176677204,45.8728486125746,46.7860906217071,46.6455918510713,46.4699683877766,46.4699683877766,46.6455918510713,48.8584474885845,50.7200561995083,52.8626624517035,56.3751317175975,61.6930101861609,61.5349490691956,61.4260625219529,61.3382507903056,60.9413417632596,59.6452406041447,59.1148577449947,59.1148577449947,59.0340709518792,58.8935721812434,58.8970846505093,58.872497365648,58.9146469968388,58.9041095890411,58.8689848963822,58.8275377590446,58.0540920266948,,
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.82,9.99,10.16,10.33,10.5,10.67,10.84,11.01,11.18,11.35,11.5,11.65,11.8,11.95,12.1,12.25,12.4,12.55,12.7,12.85,13,13.15,13.3,13.45,13.6,13.75,13.9,14.05,14.2,14.35,14.5,14.5,,
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,22.7272727272727,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,22.7272727272727,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,,
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,61.7633318797756,62.0377922627338,62.3992265597542,62.7291058146649,63.2960429819195,63.3961867800008,63.7283839344988,66.8510161149656,66.5019615089231,64.2297877588743,65.0242982830663,65.0605938325762,64.8109290186533,65.1311456204522,65.0257084466892,65.1812608203273,63.9795373781289,64.5770146961196,64.2044700154902,64.5168764562696,64.5073740936959,63.8834723975893,62.9744998242714,63.3349387553207,63.3652682139463,60.9896775705192,61.3123673899744,61.4467021595095,60.8026242141026,60.4554625567864,60.2400322819989,60.6594379287453,59.8905275763769,61.0680395194148,60.3189149082957,60.5586868515939,60.1685693086706,60.3830883980058,59.056923056897,59.2881038230738,59.3181729429988,58.1856995951733,57.2094294677375,51.4046574593546,53.3993725837314,53.27857542663,51.8536766332999,50.6733660492301,50.0184840477461,48.9920987204353,51.5628132199992,50.3854314463116,48.3937102169923,48.7383986566523,45.3144240657095,44.5399257932247,48.3406179391109,46.6580950127535,47.1237724290889,46.2524798427461,47.2592374954823,47.2592374954823,,
Austria,AUT,Agricultural land (% of land area),AG.LND.AGRI.ZS,,43.0853126514784,42.7896267571498,42.2903538536112,42.1291808046534,41.9801260300533,41.2748424624333,40.8834222006786,40.7089190499273,40.6095492001939,40.4241396025206,40.2435773145904,40.0763451284537,39.0475036354823,38.8669413475521,38.6512360639845,38.5785264178381,38.5070285991275,38.5458070770722,38.0865244789142,38.0634997576345,38.2380029083859,38.0841008240427,36.6686863790596,36.7571497818711,36.8092583616093,36.6795928259816,36.6941347552109,36.9401357246728,36.9680077556956,36.6444498303442,36.8019873969947,36.5123606398449,36.3427047988366,36.2833252544838,36.1257876878333,36.0312651478429,35.9258361609307,35.8688802714493,35.811924381968,35.630150266602,35.3380998545807,35.1696558410082,34.9640087251575,34.7479398933592,34.6194861851672,34.4558894813379,34.2959282598158,34.0450799806108,33.8705768298594,33.6791080950073,33.413717886573,33.1459040232671,32.9180804653417,32.8914202617547,32.9429229277751,32.3578526417838,32.1694134755211,32.1477217644207,32.1280901599612,31.5398133785749,31.5376684440136,31.4765838584586,,
Azerbaijan,AZE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4289868656645,53.5539613300167,53.9072545273201,53.9445065311174,54.3903288991432,55.1413773627985,56.3483849227362,56.7365939181428,57.3863567580655,57.4500024211903,57.4317945241957,57.5255287228379,57.5152409521966,57.5683522864747,57.5529121337899,57.5645354536543,57.5683493289119,57.5790951562538,57.6703445605885,57.691935444845,57.6870962278303,57.7045451795933,57.7005431692535,57.7017529003303,57.7355751784202,57.7956013645932,57.8253926004791,57.8278123260822,57.8382498850519,57.8415003024803,57.8402903811252,,
Burundi,BDI,Agricultural land (% of land area),AG.LND.AGRI.ZS,,61.3317757009346,61.9158878504673,62.4610591900312,62.5,63.2398753894081,63.1230529595016,64.8753894080997,65.2647975077882,73.8707165109034,73.208722741433,73.9485981308411,74.2211838006231,77.8816199376947,79.0498442367601,80.2180685358256,81.5809968847352,83.4501557632399,82.5545171339564,81.7757009345794,81.3084112149533,80.8021806853583,80.2180685358256,80.2180685358256,80.2180685358256,80.2180685358256,81.0747663551402,81.2694704049844,81.4641744548287,81.2694704049844,81.0747663551402,80.880062305296,81.0747663551402,80.880062305296,80.7242990654206,79.3224299065421,77.6090342679128,76.01246105919,74.493769470405,73.481308411215,72.702492211838,72.0794392523365,71.417445482866,71.3785046728972,71.9626168224299,70.8333333333333,70.9501557632399,71.0669781931464,71.183800623053,71.3006230529595,71.3785046728972,71.690031152648,72.4299065420561,73.481308411215,74.5327102803738,75.5841121495327,76.6355140186916,77.6869158878505,78.7383177570093,79.7897196261682,80.8411214953271,81.892523364486,82.8079633956386,,
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8114924339828,45.7191837272937,45.7950087363597,45.8972076616227,45.8675370059012,45.5939076253585,45.4950054396202,45.0631325618963,45.0103847295025,44.9543401575841,44.6938977351399,44.0345498302179,43.9125704678073,44.0609237464148,43.8894932911351,43.7807008868229,44.5323574984341,43.7477334915768,44.403633620831,44.4677641503247,44.7500918213419,44.7848757132551,44.5661441595068,,
Benin,BEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,12.5448740688187,12.7274742816602,12.9097641007449,13.069927279177,13.265031926215,13.5310393756651,13.9194749911316,14.1926214969847,14.9434639943242,15.1354469670096,15.5695725434551,15.8452908832919,16.0137903511884,16.2532369634622,16.6088151826889,16.8438275984392,17.1386661936857,17.3262681802057,17.5,17.7749201844626,18.0454061724016,18.4045760908123,18.3912291592763,18.5597286271728,18.8529177013125,19.3861298332742,19.474813763746,19.5650940049663,19.559772969138,20.0540617240156,20.1162735012416,20.3100922312877,20.6264455480667,21.169359702022,22.3005764455481,23.9875399077687,25.6284941468606,26.9671869457254,27.5451933309684,28.3068109258602,28.9067843206811,29.8628857750976,30.7821656615821,30.6779443064917,30.8048244058177,29.6144554806669,29.9672224192976,31.7833628946435,33.170672224193,30.9253636041149,32.0979514012061,33.3912380276694,35.3010287335935,35.4549663001064,36.122942532813,34.3804984036893,36.3017018446258,39.5602039730401,41.071385242994,39.3140173820504,41.002345689961,43.0623652004257,,
Burkina Faso,BFA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,32.9495614035088,32.9495614035088,32.9495614035088,32.9678362573099,32.9678362573099,32.9678362573099,32.9678362573099,32.9678362573099,32.9678362573099,32.9678362573099,32.9678362573099,32.9678362573099,32.9678362573099,32.9678362573099,33.0043859649123,33.0226608187134,33.0226608187134,33.0226608187134,33.0226608187134,33.0409356725146,33.0592105263158,33.0592105263158,33.077485380117,33.5556670321637,34.0155738304094,34.4937551169591,34.9719367690059,35.4501184210526,35.9100252192982,36.3699316520468,36.8298384502924,37.289745248538,37.7496520467836,38.2095588450292,38.6694652777778,39.1293720760234,39.589278874269,40.0491856725146,40.5090924707602,40.9763088450292,41.4508355263158,41.9180522660819,42.385269005848,42.9073099415205,43.4256962719298,43.9294627192982,44.407644371345,44.9132383040936,45.4371067251462,46.0212825292398,46.7589671052632,47.3285230263158,48.1173768274854,48.686932748538,49.293038377193,49.8260445906433,50.3590508040936,51.1844543128655,51.6809108187134,52.1590924707602,52.6920986842105,53.243379751462,,
